 i   2*Tz    i_sp      en_sp      lam      en_phon
  217   -1    2 -33.21673 2158  30.99604
  218   -1    2 -33.21673 2159  30.88493
  219   -1    2 -33.21673 2160  31.24561
  220   -1    2 -33.21673 2161  30.95411
  221   -1    2 -33.21673 2162  31.03461
  222   -1    2 -33.21673 2163  31.06645
  223   -1    2 -33.21673 2164  31.20730
  224   -1    2 -33.21673 2165  31.19670
  225   -1    2 -33.21673 2166  31.13485
  226   -1    2 -33.21673 2167  31.14572
  227   -1    2 -33.21673 2175  31.29748
  228   -1    2 -33.21673 2176  31.33565
  229   -1    2 -33.21673 2177  31.38461
  230   -1    2 -33.21673 2180  31.44249
  231   -1    2 -33.21673 2181  31.43508
  232   -1    2 -33.21673 2183  31.47978
  233   -1    2 -33.21673 2184  31.51165
  234   -1    2 -33.21673 2186  31.55632
  235   -1    2 -33.21673 2187  31.58182
  236   -1    2 -33.21673 2189  31.71376
  237   -1    2 -33.21673 2190  31.74395
  238   -1    2 -33.21673 2191  31.62007
  239   -1    2 -33.21673 2192  31.62719
  240   -1    2 -33.21673 2193  31.79334
  241   -1    2 -33.21673 2194  31.96018
  242   -1    2 -33.21673 2195  31.87152
  243   -1    2 -33.21673 2199  32.00704
  244   -1    2 -33.21673 2203  31.91943
  245   -1    2 -33.21673 2204  31.89339
  246   -1    2 -33.21673 2205  31.83337
  247   -1    2 -33.21673 2206  32.06685
  248   -1    2 -33.21673 2207  32.09983
  249   -1    2 -33.21673 2208  32.08251
  250   -1    2 -33.21673 2209  32.05196
  251   -1    2 -33.21673 2210  32.19377
  252   -1    2 -33.21673 2211  32.30650
  253   -1    2 -33.21673 2212  32.25742
  254   -1    2 -33.21673 2213  32.37532
  255   -1    2 -33.21673 2214  32.24583
  256   -1    2 -33.21673 2215  32.42617
  257   -1    2 -33.21673 2216  32.46637
  258   -1    2 -33.21673 2217  32.51646
  259   -1    2 -33.21673 2218  32.59567
  260   -1    2 -33.21673 2219  32.84445
  261   -1    2 -33.21673 2220  32.82586
  262   -1    2 -33.21673 2221  32.66560
  263   -1    2 -33.21673 2222  32.71084
  264   -1    2 -33.21673 2223  32.73370
  265   -1    2 -33.21673 2224  32.75663
  266   -1    2 -33.21673 2261  33.00471
  267   -1    2 -33.21673 2262  32.97153
  268   -1    2 -33.21673 2263  32.94337
  269   -1    2 -33.21673 2264  32.84986
  270   -1    2 -33.21673 2271  33.28565
  271   -1    2 -33.21673 2272  33.03776
  272   -1    2 -33.21673 2273  33.20139
  273   -1    2 -33.21673 2274  33.10795
  274   -1    2 -33.21673 2275  33.06599
  275   -1    2 -33.21673 2276  32.95168
  276   -1    2 -33.21673 2285  33.29699
  277   -1    2 -33.21673 2286  33.33648
  278   -1    2 -33.21673 2287  33.31371
  279   -1    2 -33.21673 2288  33.64250
  280   -1    2 -33.21673 2289  33.44968
  281   -1    2 -33.21673 2290  33.39996
  282   -1    2 -33.21673 2291  33.38282
  283   -1    2 -33.21673 2292  33.52583
  284   -1    2 -33.21673 2293  33.56889
  285   -1    2 -33.21673 2294  33.70985
  286   -1    2 -33.21673 2295  33.76329
  287   -1    2 -33.21673 2296  33.73914
  288   -1    2 -33.21673 2297  33.86677
  289   -1    2 -33.21673 2298  33.91137
  290   -1    2 -33.21673 2299  33.96802
  291   -1    2 -33.21673 2313  33.98650
  292   -1    2 -33.21673 2314  34.00965
  293   -1    2 -33.21673 2315  34.05805
  294   -1    2 -33.21673 2316  34.08819
  295   -1    2 -33.21673 2317  34.15509
  296   -1    2 -33.21673 2318  34.12011
  297   -1    2 -33.21673 2319  34.60422
  298   -1    2 -33.21673 2320  34.29967
  299   -1    2 -33.21673 2321  34.33869
  300   -1    2 -33.21673 2322  34.46271
  301   -1    2 -33.21673 2323  34.51644
  302   -1    2 -33.21673 2324  34.49566
  303   -1    2 -33.21673 2325  34.35673
  304   -1    2 -33.21673 2326  34.18117
  305   -1    2 -33.21673 2327  34.19404
  306   -1    2 -33.21673 2370  34.70534
  307   -1    2 -33.21673 2371  34.62763
  308   -1    2 -33.21673 2372  34.66205
  309   -1    2 -33.21673 2373  34.75132
  310   -1    2 -33.21673 2374  34.78926
  311   -1    2 -33.21673 2381  34.83616
  312   -1    2 -33.21673 2382  34.93136
  313   -1    2 -33.21673 2383  34.81580
  314   -1    2 -33.21673 2384  34.96503
  315   -1    4 -15.8283317651  11.09703
  316   -1    4 -15.8283317652  11.26148
  317   -1    4 -15.8283317654  12.21925
  318   -1    4 -15.8283317655  12.48165
  319   -1    4 -15.8283317656  13.26404
  320   -1    4 -15.8283317659  14.36550
  321   -1    4 -15.8283317660  14.62065
  322   -1    4 -15.8283317663  15.29905
  323   -1    4 -15.8283317665  15.79291
  324   -1    4 -15.8283317666  16.07277
  325   -1    4 -15.8283317667  16.33214
  326   -1    4 -15.8283317668  16.62580
  327   -1    4 -15.8283317669  17.11267
  328   -1    4 -15.8283317670  17.24085
  329   -1    4 -15.8283317671  17.52961
  330   -1    4 -15.8283317672  17.73455
  331   -1    4 -15.8283317673  17.86762
  332   -1    4 -15.8283317674  18.07687
  333   -1    4 -15.8283317675  18.25533
  334   -1    4 -15.8283317722  18.59809
  335   -1    4 -15.8283317723  18.99921
  336   -1    4 -15.8283317724  19.14182
  337   -1    4 -15.8283317725  19.26716
  338   -1    4 -15.8283317726  19.43382
  339   -1    4 -15.8283317727  19.48041
  340   -1    4 -15.8283317728  19.67914
  341   -1    4 -15.8283317729  19.92573
  342   -1    4 -15.8283317733  20.63939
  343   -1    4 -15.8283317735  20.82980
  344   -1    4 -15.8283317736  20.95191
  345   -1    4 -15.8283317737  21.04935
  346   -1    4 -15.8283317738  21.11512
  347   -1    4 -15.8283317739  21.35319
  348   -1    4 -15.8283317740  21.54819
  349   -1    4 -15.8283317741  21.45700
  350   -1    4 -15.8283317742  21.44656
  351   -1    4 -15.8283317743  21.71799
  352   -1    4 -15.8283317744  21.84752
  353   -1    4 -15.8283317745  21.99257
  354   -1    4 -15.8283317746  21.77489
  355   -1    4 -15.8283317797  22.26732
  356   -1    4 -15.8283317798  22.34107
  357   -1    4 -15.8283317799  22.33084
  358   -1    4 -15.8283317800  22.42405
  359   -1    4 -15.8283317801  22.62520
  360   -1    4 -15.8283317802  22.59003
  361   -1    4 -15.8283317803  22.67485
  362   -1    4 -15.8283317804  22.71912
  363   -1    4 -15.8283317805  22.86824
  364   -1    4 -15.8283317806  23.09290
  365   -1    4 -15.8283317807  22.95996
  366   -1    4 -15.8283317808  23.00671
  367   -1    4 -15.8283317810  23.33814
  368   -1    4 -15.8283317815  23.90269
  369   -1    4 -15.8283317816  23.90846
  370   -1    4 -15.8283317817  24.05315
  371   -1    4 -15.8283317818  24.09436
  372   -1    4 -15.8283317819  24.42454
  373   -1    4 -15.8283317821  24.32123
  374   -1    4 -15.8283317851  24.55700
  375   -1    4 -15.8283317853  24.74600
  376   -1    4 -15.8283317857  25.13659
  377   -1    4 -15.8283317858  25.27022
  378   -1    4 -15.8283317860  25.48127
  379   -1    4 -15.8283317861  25.52119
  380   -1    4 -15.8283317862  25.61617
  381   -1    4 -15.8283317864  25.71643
  382   -1    4 -15.8283317865  25.84840
  383   -1    4 -15.8283317866  25.95745
  384   -1    4 -15.8283317867  26.10313
  385   -1    4 -15.8283317868  26.03380
  386   -1    4 -15.8283317904  26.25709
  387   -1    4 -15.8283317905  26.24595
  388   -1    4 -15.8283317906  26.35257
  389   -1    4 -15.8283317907  26.41102
  390   -1    4 -15.8283317908  26.53124
  391   -1    4 -15.8283317909  26.59257
  392   -1    4 -15.8283317910  26.57144
  393   -1    4 -15.8283317911  26.74283
  394   -1    4 -15.8283317912  26.89667
  395   -1    4 -15.8283317913  26.71541
  396   -1    4 -15.8283317914  26.82357
  397   -1    4 -15.8283317916  27.07261
  398   -1    4 -15.8283317917  26.85803
  399   -1    4 -15.8283317918  27.11899
  400   -1    4 -15.8283317920  27.20063
  401   -1    4 -15.8283317922  27.34281
  402   -1    4 -15.8283317948  27.42812
  403   -1    4 -15.8283317949  27.48500
  404   -1    4 -15.8283317950  27.58109
  405   -1    4 -15.8283317951  27.53840
  406   -1    4 -15.8283317952  27.68935
  407   -1    4 -15.8283317953  28.14286
  408   -1    4 -15.8283317954  27.83855
  409   -1    4 -15.8283317955  27.89715
  410   -1    4 -15.8283317956  27.99043
  411   -1    4 -15.8283317957  28.03565
  412   -1    4 -15.8283317958  28.09584
  413   -1    4 -15.8283317959  28.05831
  414   -1    4 -15.8283317983  28.26042
  415   -1    4 -15.8283317984  28.22307
  416   -1    4 -15.8283317985  28.31755
  417   -1    4 -15.8283317986  28.36784
  418   -1    4 -15.8283317987  28.38757
  419   -1    4 -15.8283317988  28.47246
  420   -1    4 -15.8283317989  28.43195
  421   -1    4 -15.8283317990  29.00182
  422   -1    4 -15.8283317991  28.58615
  423   -1    4 -15.8283317992  28.61740
  424   -1    4 -15.8283317993  28.60349
  425   -1    4 -15.8283317994  28.67277
  426   -1    4 -15.8283317995  28.77814
  427   -1    4 -15.8283317996  28.86261
  428   -1    4 -15.8283317997  28.83765
  429   -1    4 -15.8283317998  28.66531
  430   -1    4 -15.8283317999  28.91754
  431   -1    4 -15.8283318018  29.04316
  432   -1    4 -15.8283318019  29.12232
  433   -1    4 -15.8283318020  29.16164
  434   -1    4 -15.8283318021  29.07204
  435   -1    4 -15.8283318022  29.23926
  436   -1    4 -15.8283318023  29.26006
  437   -1    4 -15.8283318024  29.31263
  438   -1    4 -15.8283318025  29.34696
  439   -1    4 -15.8283318026  29.45401
  440   -1    4 -15.8283318027  29.53025
  441   -1    4 -15.8283318028  29.50535
  442   -1    4 -15.8283318029  29.62609
