 
 ________________________________________
 
 i     Parity    J        energy       Tz
    1   -1    0   5.55856   1
 
 -  p(h)^-1 -
 7 3        0.11515
 7 5       -0.86367
 9 3       -0.04538
11 3        0.03008
11 5       -0.13752
15 1       -0.01235
19 3       -0.02615
19 5       -0.01892
 8 4       -0.07194
 8 6        0.43601
10 4       -0.04029
12 4       -0.01667
12 6        0.14258
16 2        0.00471
20 4        0.01412
20 6       -0.00310
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   47   -1    2   9.30991   0
 
 -  p(h)^-1 -
 7 3       -0.04069
 7 5        0.46195
 9 3       -0.00981
11 3       -0.01623
11 5       -0.10480
15 1        0.00879
19 3        0.00918
19 5        0.04148
 8 4       -0.11376
 8 6        0.86861
10 4       -0.02234
12 4       -0.03233
12 6        0.01284
16 2        0.01481
20 4        0.02170
20 6        0.04351
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   48   -1    2  10.07605   1
 
 -  p(h)^-1 -
 8 3        0.04444
 8 5        0.06578
10 3       -0.07842
12 3       -0.00478
12 5        0.99368
16 1        0.00695
20 3       -0.00867
20 5        0.00079
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   49   -1    2  12.42357   0
 
 -  p(h)^-1 -
 7 3       -0.04741
 7 5       -0.05681
 9 3        0.03061
11 3        0.01164
11 5        0.96070
15 1       -0.00510
19 3       -0.00067
19 5       -0.02526
 8 4        0.08638
 8 6        0.15154
10 4       -0.04233
12 4       -0.01926
12 6        0.19152
16 2       -0.00209
20 4       -0.00843
20 6        0.02219
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   50   -1    2  12.55349  -1
 
 -  p(h)^-1 -
 7 4       -0.11424
 7 6        0.98730
 9 4        0.00920
11 4       -0.03544
11 6       -0.06796
15 2       -0.01736
19 4        0.02541
19 6        0.07272
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   51   -1    2  13.14818   1
 
 -  p(h)^-1 -
 8 3       -0.53318
 8 5       -0.04535
10 3        0.83718
12 3        0.02931
12 5        0.09305
16 1       -0.01038
20 3       -0.01390
20 5       -0.05450
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   52   -1    2  13.30977   0
 
 -  p(h)^-1 -
 7 3        0.20606
 7 5        0.14982
 9 3        0.07166
11 3       -0.03508
11 5       -0.13661
15 1       -0.00131
19 3       -0.01565
19 5        0.05527
 8 4       -0.12927
 8 6       -0.11672
10 4       -0.01075
12 4        0.02925
12 6        0.93472
16 2       -0.00484
20 4        0.00499
20 6       -0.04127
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   53   -1    2  14.11277   1
 
 -  p(h)^-1 -
 8 3       -0.82002
 8 5       -0.09801
10 3       -0.53930
12 3        0.09510
12 5        0.00044
16 1        0.02040
20 3       -0.06552
20 5       -0.11563
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   54   -1    2  15.30382   0
 
 -  p(h)^-1 -
 7 3       -0.70842
 7 5       -0.02916
 9 3       -0.47492
11 3        0.08847
11 5       -0.11806
15 1        0.00833
19 3        0.01309
19 5       -0.03803
 8 4        0.41144
 8 6        0.01080
10 4       -0.11954
12 4       -0.06417
12 6        0.24515
16 2       -0.00474
20 4       -0.01662
20 6        0.00915
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   55   -1    2  15.75305  -1
 
 -  p(h)^-1 -
 7 4        0.03180
 7 6        0.07145
 9 4        0.05797
11 4       -0.00199
11 6        0.99519
15 2        0.00533
19 4       -0.00753
19 6        0.00556
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   56   -1    2  16.02795   0
 
 -  p(h)^-1 -
 7 3       -0.06435
 7 5       -0.01548
 9 3        0.68978
11 3        0.01370
11 5       -0.10574
15 1       -0.01171
19 3        0.00009
19 5       -0.01341
 8 4        0.47993
 8 6        0.04700
10 4       -0.52137
12 4       -0.03144
12 6        0.01895
16 2       -0.00886
20 4       -0.00069
20 6        0.04838
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   57   -1    2  16.77661   0
 
 -  p(h)^-1 -
 7 3        0.63694
 7 5        0.08056
 9 3       -0.47365
11 3       -0.00987
11 5        0.00164
15 1        0.01513
19 3        0.05092
19 5        0.16243
 8 4        0.52155
 8 6        0.03118
10 4       -0.22381
12 4       -0.08500
12 6       -0.04858
16 2        0.00224
20 4        0.02477
20 6        0.02967
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   58   -1    2  17.04556   1
 
 -  p(h)^-1 -
 8 3       -0.08637
 8 5       -0.05904
10 3       -0.00727
12 3        0.28820
12 5        0.00745
16 1        0.02589
20 3       -0.02301
20 5        0.95115
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   59   -1    2  17.49925   0
 
 -  p(h)^-1 -
 7 3       -0.04344
 7 5        0.02158
 9 3       -0.22000
11 3        0.10999
11 5        0.04977
15 1       -0.00073
19 3       -0.01085
19 5        0.10759
 8 4       -0.51238
 8 6       -0.09134
10 4       -0.79088
12 4       -0.00859
12 6       -0.06934
16 2       -0.01780
20 4       -0.04004
20 6       -0.14071
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   60   -1    2  18.32575   1
 
 -  p(h)^-1 -
 8 3        0.11608
 8 5        0.06587
10 3        0.02756
12 3        0.95005
12 5       -0.00178
16 1       -0.03182
20 3        0.06826
20 5       -0.27049
 
 ________________________________________
 
 i     Parity    J        energy       Tz
   61   -1    2  18.93737   0
 
 -  p(h)^-1 -
 7 3       -0.11129
 7 5       -0.04762
 9 3        0.10710
11 3        0.25854
11 5        0.02038
15 1       -0.02682
19 3       -0.02950
19 5        0.93609
 8 4        0.01668
 8 6       -0.00706
10 4        0.14510
12 4       -0.03527
12 6       -0.01841
16 2        0.00361
20 4        0.00650
20 6       -0.07573
 
 ________________________________________
 
